YEAR,COUNTRY,LOCATION,ALL_FATALITIES
1949,CHILE,SOUTHERN CHILE,3.0
1949,PHILIPPINES,E. LUZON ISLAND,16.0
1950,INDIA,INDIA-CHINA,1530.0
1950,INDONESIA,JAVA TRENCH,1.0
1950,PERU,S. PERU,4.0
1951,NICARAGUA,COSIGUINA VOLCANO,1000.0
1951,TAIWAN,TAIWAN,68.0
1952,JAPAN,SE. HOKKAIDO ISLAND,33.0
1952,JAPAN,MYOJINSHO SUBMARINE VOLCANO,31.0
1952,RUSSIA,KAMCHATKA,10000.0
1953,CHILE,CENTRAL CHILE,9.0
1953,GREECE,IONIAN SEA,476.0
1953,CYPRUS,LEVANTIAN SEA,40.0
1953,FIJI,FIJI ISLANDS,7.0
1953,JAPAN,"KASHIMA, JAPAN",1.0
1953,PERU,N. PERU,6.0
1954,USA,"MICHIGAN CITY, IN (LAKE MICHIGAN)",7.0
1954,ALGERIA,SEA OF ALBORAN,1243.0
1955,GREECE,VOLOS GULF,8.0
1955,CHILE,CENTRAL CHILE,1.0
1956,GREECE,CYCLADES,56.0
1957,USA,"ANDREANOF ISLANDS, AK",2.0
1957,MEXICO,S. MEXICO,65.0
1958,ECUADOR,COLOMBIA-ECUADOR,115.0
1958,USA,"SE. ALASKA, AK",5.0
1959,USA,"HEGBEN LAKE, MONTANA",28.0
1960,MOROCCO,MOROCCO,13100.0
1960,CHILE,SOUTHERN CHILE,2223.0
1960,PERU,N. PERU,66.0
1961,JAPAN,SEIKAIDO,2.0
1962,MEXICO,S. MEXICO,4.0
1962,MEXICO,S. MEXICO,3.0
1963,GREECE,CORINTH GULF,2.0
1963,TAIWAN,E. TAIWAN-RYUKYU ISLANDS,15.0
1963,CANADA,"GRAHAM ISLAND, BRITISH COLUMBIA",1.0
1963,INDONESIA,LESSER SUNDA: BALI: AGUNG VOLCANO,1028.0
1963,TURKEY,MARMARA SEA,1.0
1963,PERU,CENTRAL PERU,1.0
1963,ITALY,"VAJONT DAM, VAJONT RIVER",2000.0
1964,USA,"PRINCE WILLIAM SOUND, AK",139.0
1964,JAPAN,NW. HONSHU ISLAND,26.0
1965,INDONESIA,SANANA ISLAND,71.0
1965,CHILE,SOUTHERN CHILE,27.0
1965,GREECE,AEGEAN SEA,38.0
1965,GREECE,NORTH CORINTH GULF,2.0
1965,MEXICO,MEXICO,6.0
1965,PHILIPPINES,"TAAL, LUZON ISLAND",355.0
1966,TAIWAN,E. TAIWAN-RYUKYU ISLANDS,7.0
1966,PERU,CENTRAL PERU,110.0
1966,CHILE,NORTHERN CHILE,3.0
1967,INDONESIA,MAKASSAR STRAIT,71.0
1967,INDONESIA,NORTHEAST SUMATRA,14.0
1967,VENEZUELA,CARACAS,300.0
1967,CHILE,NORTHERN CHILE,1.0
1968,GREECE,"LEMNOS ISLAND, NORTH AEGEAN SEA",20.0
1968,JAPAN,SEIKAIDO,1.0
1968,JAPAN,OFF EAST COAST OF HONSHU ISLAND,52.0
1968,PHILIPPINES,E. LUZON ISLAND,270.0
1968,INDONESIA,BANDA SEA,200.0
1968,TURKEY,BLACK SEA,24.0
1968,MEXICO,S. MEXICO-GUATEMALA-NICARAGUA,15.0
1969,INDONESIA,MAKASSAR STRAIT,664.0
1969,PORTUGAL,PORTUGAL,13.0
1969,PHILIPPINES,LUZON ISLAND,3.0
1969,EGYPT,GULF OF SUEZ,2.0
1970,PHILIPPINES,PHILIPPINE SEA,15.0
1970,PERU,N. PERU,66794.0
1970,PAPUA NEW GUINEA,PAPUA NEW GUINEA,18.0
1971,PERU,CHUNGAR,600.0
1971,CHILE,CENTRAL CHILE,83.0
1971,PAPUA NEW GUINEA,SOLOMON SEA,3.0
1972,TAIWAN,E. TAIWAN,1.0
1973,MEXICO,S. MEXICO,56.0
1973,PHILIPPINES,QUEZON,15.0
1974,JAPAN,TOKAIDO,30.0
1974,PERU,CENTRAL PERU,78.0
1974,PAKISTAN,PAKISTAN,5300.0
1975,CHILE,CENTRAL CHILE,2.0
1975,PHILIPPINES,PHILIPPINE TRENCH,1.0
1975,USA,HAWAII,2.0
1976,GUATEMALA,GUATEMALA,23000.0
1976,PHILIPPINES,MORO GULF,8000.0
1977,SOLOMON ISLANDS,SOLOMON ISLANDS,34.0
1977,SOLOMON ISLANDS,SOLOMON ISLANDS,18.0
1977,INDONESIA,SUNDA ISLANDS,189.0
1978,JAPAN,TOKAIDO,25.0
1978,JAPAN,SANRIKU,28.0
1978,GREECE,"THESSALONIKI (SALONICA), GREECE",50.0
1978,MEXICO,MEXICO,9.0
1979,MEXICO,S. MEXICO,5.0
1979,SERBIA AND MONTENEGRO,MONTENEGRO,131.0
1979,INDONESIA,LOMBLEN ISLAND [LEMBATA],1239.0
1979,INDONESIA,IRIAN JAYA,115.0
1979,FRANCE,FRENCH RIVIERA (LIGURIAN SEA),9.0
1979,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",600.0
1980,PORTUGAL,AZORES,69.0
1980,USA,WASHINGTON,57.0
1980,ALGERIA,EL ASNAM,5000.0
1981,GREECE,ATHENS-EASTERN GULF OF CORINTH,22.0
1981,MEXICO,MEXICO,9.0
1982,INDONESIA,FLORES SEA,13.0
1983,JAPAN,"NOSHIRO, JAPAN",104.0
1983,PHILIPPINES,LUZON ISLAND,16.0
1983,CHILE,NORTHERN CHILE,5.0
1984,INDONESIA,SULAWESI,2.0
1985,CHILE,CENTRAL CHILE,180.0
1985,MEXICO,MEXICO,9500.0
1986,TAIWAN,TAIWAN,15.0
1987,PAPUA NEW GUINEA,SOLOMON SEA,3.0
1987,CHILE,NORTHERN CHILE,1.0
1987,JAPAN,KYUSHU ISLAND,2.0
1988,BANGLADESH,"JAMUNA RIVER, ARICHA, BANGLADESH",2.0
1988,SOLOMON ISLANDS,SOLOMON ISLANDS,1.0
1989,USA,N. CALIFORNIA,62.0
1990,ITALY,EASTERN SICILY,19.0
1991,COSTA RICA,"LIMON, PANDORA",89.0
1992,NICARAGUA,NICARAGUA,170.0
1992,INDONESIA,FLORES SEA,2500.0
1993,JAPAN,SEA OF JAPAN,231.0
1994,USA,"WEST COAST, USA",60.0
1994,INDONESIA,HALMAHERA,9.0
1994,INDONESIA,SOUTH OF JAVA,238.0
1994,RUSSIA,S. KURIL ISLANDS,11.0
1994,INDONESIA,HALMAHERA,1.0
1994,USA,"SKAGWAY, AK",1.0
1994,PHILIPPINES,PHILIPPINE ISLANDS,81.0
1994,JAPAN,"TOHUKU, JAPAN",3.0
1995,JAPAN,"KOBE, JAPAN",5502.0
1995,INDONESIA,TIMOR SEA,11.0
1995,RUSSIA,SAKHALIN ISLAND,1989.0
1995,GREECE,GULF OF CORINTH: AIYION,26.0
1995,CHILE,NORTHERN CHILE,3.0
1995,MEXICO,S. MEXICO,3.0
1995,MEXICO,S. MEXICO,50.0
1995,EGYPT,EGYPT,12.0
1996,INDONESIA,SULAWESI,9.0
1996,INDONESIA,IRIAN JAYA,164.0
1996,PERU,N. PERU,12.0
1996,PERU,S. PERU,14.0
1997,VENEZUELA,CARIACO-CUMANA,81.0
1998,PAPUA NEW GUINEA,PAPUA NEW GUINEA,2205.0
1998,INDONESIA,"TALIABU ISLAND,",41.0
1999,TURKEY,"KOCAELI, TURKEY",17118.0
1999,VANUATU,VANUATU ISLANDS,10.0
2000,INDONESIA,SULAWESI,46.0
2000,JAPAN,"KOZU-SHIMA ISLAND, HONSHU",1.0
2000,PAPUA NEW GUINEA,BISMARCK SEA,2.0
2001,EL SALVADOR,EL SALVADOR,844.0
2001,PERU,S. PERU,103.0
2002,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",15.0
2002,TAIWAN,TAIWAN,5.0
2002,PAPUA NEW GUINEA,BISMARCK SEA,4.0
2002,INDIA,"ANDAMAN ISLANDS, INDIA",2.0
2002,INDONESIA,IRIAN JAYA,8.0
2003,MEXICO,S. MEXICO,29.0
