YEAR,COUNTRY,LOCATION,FATALITY_TOTAL
1693,ITALY,ISLAND OF SICILY,4.0
1696,JAPAN,"FUKUSHIMA, JAPAN",4.0
1696,JAPAN,ISHINOMAKI,1.0
1700,USA,CASCADIA SUBDUCTION ZONE,1.0
1700,JAPAN,NAGASAKI PREFECTURE,4.0
1700,JAPAN,"TSUSHIMA, NAGASAKI PREFECTURE",3.0
1703,ITALY,LATIUM,4.0
1703,JAPAN,OFF SW BOSO PENINSULA,4.0
1707,JAPAN,ENSHUNADA,4.0
1707,JAPAN,NANKAIDO,4.0
1711,INDONESIA,BANDA SEA,1.0
1711,JAPAN,"SEIONAIKAI, JAPAN",3.0
1715,PERU,PERU,1.0
1716,PHILIPPINES,"TAAL, LUZON ISLAND",1.0
1721,TAIWAN,TAINAN,4.0
1722,PORTUGAL,"TAVIRA, ALGARVE",3.0
1723,GREECE,IONIAN SEA,1.0
1726,JAPAN,KATSUYAMA,3.0
1726,ITALY,NORTHERN SICILY,3.0
1730,CHILE,CENTRAL CHILE,1.0
1731,ITALY,TYRRHENIAN SEA,4.0
1735,PHILIPPINES,E. LUZON ISLAND,3.0
1737,RUSSIA,KAMCHATKA,1.0
1737,CHILE,SOUTHERN CHILE,2.0
1741,JAPAN,W. HOKKAIDO ISLAND,4.0
1746,PERU,CENTRAL PERU,4.0
1748,GREECE,CORINTHOS-PATRAS GULF,3.0
1749,PHILIPPINES,"TAAL, LUZON ISLAND",1.0
1750,CROATIA,RIJEKA,3.0
1751,JAPAN,NW. HONSHU ISLAND,4.0
1751,CHILE,CENTRAL CHILE,2.0
1752,SYRIA,LATAKIA,4.0
1754,INDONESIA,BANDA SEA,1.0
1754,PHILIPPINES,"TAAL, LUZON ISLAND",1.0
1755,PORTUGAL,LISBON,4.0
1757,PORTUGAL,AZORES,4.0
1762,BANGLADESH,NORTHERN BAY OF BENGAL,3.0
1762,JAPAN,NW. HONSHU ISLAND,2.0
1763,JAPAN,"SANRIKU, HACHIONHE",3.0
1763,INDONESIA,BANDA SEA,1.0
1765,CHINA,SOUTH CHINA SEA,4.0
1766,JAPAN,SANRIKU,4.0
1771,JAPAN,RYUKYU ISLANDS,4.0
1771,INDONESIA,N. MOLUCCAS ISLANDS,1.0
1773,GUATEMALA,GUATEMALA-NICARAGUA,4.0
1774,CANADA,NEWFOUNDLAND,3.0
1775,JAPAN,"AWA, BOSO, JAPAN",3.0
1780,RUSSIA,S. KURIL ISLANDS,1.0
1781,JAPAN,SW. KYUSHU ISLAND,1.0
1781,TAIWAN,KAOHSIUNG,1.0
1782,TAIWAN,TAIWAN STRAIT,4.0
1782,JAPAN,"ODAWARA, SAGAMI BAY",3.0
1783,ITALY,TYRRHENIAN CALABRIA,4.0
1783,ITALY,MESSINA STRAITS,4.0
1783,ITALY,MESSINA STRAITS,1.0
1783,ITALY,TYRRHENIAN CALABRIA,3.0
1784,MEXICO,S. MEXICO,1.0
1784,PERU,S. PERU,3.0
1787,MEXICO,SAN MARCOS,1.0
1788,USA,"ALASKA PENINSULA, AK",3.0
1788,USA,"SHUMAGIN ISLANDS, AK",3.0
1790,ALGERIA,ORAN,4.0
1791,JAPAN,OASAKA BAY,2.0
1791,GREECE,IONIAN SEA,1.0
1792,JAPAN,"SHIMABARA BAY, KYUSHU ISLAND",4.0
1792,JAPAN,W. HOKKAIDO ISLAND,2.0
1792,TAIWAN,TAINAN,3.0
1793,JAPAN,W. OFF AOMORI,1.0
1793,JAPAN,SANRIKU,3.0
1797,INDONESIA,SW. SUMATRA,3.0
1799,JAPAN,SW. HONSHU ISLAND,3.0
1802,ALGERIA,HARBOUR OF ALGIERS,3.0
1802,JAPAN,NW. HONSHU ISLAND,1.0
1804,JAPAN,NW. HONSHU ISLAND,3.0
1808,ITALY,ITALIAN COAST,1.0
1810,JAPAN,NW. HONSHU ISLAND,2.0
1811,USA,AR: NE -  NEW MADRID EARTHQUAKES,1.0
1812,VENEZUELA,LA GUAIRA,4.0
1812,JAMAICA,KINGSTON,2.0
1812,USA,S. CALIFORNIA,1.0
1815,INDONESIA,TAMBORA,4.0
1815,INDONESIA,BALI SEA,3.0
1818,ITALY,EASTERN SICILY,2.0
1819,CHILE,NORTHERN CHILE,1.0
1819,INDIA,KUTCH,4.0
1820,GREECE,ISLAND OF ZAKYNTHOS,1.0
1820,INDONESIA,FLORES SEA,3.0
1820,CONGO,GOLD COAST,3.0
1821,UK TERRITORY,ST HELENA,1.0
1822,TURKEY,ANTIOCHIA,4.0
1822,CHILE,CENTRAL CHILE,3.0
1824,PHILIPPINES,W. LUZON ISLAND,3.0
1825,GREECE,IONIAN SEA,2.0
1828,JAPAN,NW. HONSHU ISLAND,4.0
1830,PHILIPPINES,W. LUZON ISLAND,3.0
1832,ITALY,CUTRO,3.0
1833,CHINA,YUNNAN PROVINCE,4.0
1833,INDONESIA,SW. SUMATRA,1.0
1833,JAPAN,NW. HONSHU ISLAND,2.0
1835,CHILE,CENTRAL CHILE,2.0
1835,JAPAN,SANRIKU,3.0
1836,ITALY,ROSSANO,3.0
1837,CHILE,SOUTHERN CHILE,1.0
1840,PHILIPPINES,PHILIPPINE SEA,2.0
1842,HAITI,CAP-HAITIAN,4.0
1843,INDONESIA,SW. SUMATRA,3.0
1843,GUADELOUPE (FRENCH TERRITORY),POINTE-A-PITRE,4.0
1843,JAPAN,SE. HOKKAIDO ISLAND,1.0
1845,INDONESIA,CELEBES SEA,3.0
1845,INDIA,RANN OF KUTCH,1.0
1845,USA,"SE. ALASKA, AK",2.0
1846,ITALY,LIVORNO,2.0
1847,JAPAN,SANRIKU,3.0
1848,NEW ZEALAND,WELLINGTON,1.0
1849,USA TERRITORY,"GUAM, MARIANA ISLANDS",3.0
1849,CHILE,CENTRAL CHILE,1.0
1851,CHILE,CENTRAL CHILE,1.0
1851,ALBANIA,ALBANIAN COASTS,4.0
1852,PHILIPPINES,W. LUZON ISLAND,1.0
1852,INDONESIA,BANDA SEA,2.0
1852,MEXICO,S. MEXICO,1.0
1852,INDONESIA,BANDANEIRA,1.0
1853,VENEZUELA,CUMANA,3.0
1853,GREECE,CENTRAL GREECE (EVOIKOS GULF),1.0
1853,USA,"LITUYA BAY, AK",2.0
1854,JAPAN,ENSHUNADA SEA,3.0
1854,JAPAN,NANKAIDO,4.0
1855,JAPAN,TOKAIDO,4.0
1856,INDONESIA,SANGIHE ISLAND,4.0
1856,HONDURAS,BAY OF HONDURAS,3.0
1856,ALGERIA,SEA OF ALBORAN,1.0
1856,JAPAN,SE. HOKKAIDO ISLAND,1.0
1856,GREECE,CRETE,3.0
1856,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",2.0
1857,PAPUA NEW GUINEA,BISMARCK SEA,2.0
1857,INDONESIA,BALI SEA,1.0
1858,CHILE,CENTRAL CHILE,1.0
1859,CHILE,NORTHERN CHILE,1.0
1859,INDONESIA,SOUTH OF JAVA,1.0
1861,INDONESIA,SW. SUMATRA,4.0
1861,INDONESIA,SW. SUMATRA,3.0
1862,GHANA,GOLD COAST,1.0
1863,PHILIPPINES,W. LUZON ISLAND,3.0
1863,VANUATU,VANUATU ISLANDS,3.0
1864,INDONESIA,NW. IRIAN JAYA,3.0
1865,PERU,CENTRAL PERU,1.0
1866,ALBANIA,ALBANIAN COASTS,2.0
1866,ALBANIA,ALBANIAN COASTS,1.0
1867,ITALY,LAKE MAGGIORE,1.0
