YEAR,COUNTRY,LOCATION,FATALITY_TOTAL
1983,JAPAN,"NOSHIRO, JAPAN",3.0
1983,PHILIPPINES,LUZON ISLAND,1.0
1983,CHILE,NORTHERN CHILE,1.0
1984,INDONESIA,SULAWESI,1.0
1985,CHILE,CENTRAL CHILE,3.0
1985,MEXICO,MEXICO,4.0
1986,TAIWAN,TAIWAN,1.0
1987,PAPUA NEW GUINEA,SOLOMON SEA,1.0
1987,CHILE,NORTHERN CHILE,1.0
1987,JAPAN,KYUSHU ISLAND,1.0
1988,BANGLADESH,"JAMUNA RIVER, ARICHA, BANGLADESH",1.0
1988,SOLOMON ISLANDS,SOLOMON ISLANDS,1.0
1989,USA,N. CALIFORNIA,2.0
1990,PHILIPPINES,PHILIPPINES,2.0
1990,ITALY,EASTERN SICILY,1.0
1991,COSTA RICA,"LIMON, PANDORA",2.0
1992,NICARAGUA,NICARAGUA,3.0
1992,INDONESIA,FLORES SEA,4.0
1993,JAPAN,SEA OF JAPAN,3.0
1994,USA,"WEST COAST, USA",2.0
1994,INDONESIA,HALMAHERA,1.0
1994,INDONESIA,SOUTH OF JAVA,3.0
1994,RUSSIA,S. KURIL ISLANDS,1.0
1994,INDONESIA,HALMAHERA,1.0
1994,USA,"SKAGWAY, AK",1.0
1994,PHILIPPINES,PHILIPPINE ISLANDS,2.0
1994,JAPAN,"TOHUKU, JAPAN",1.0
1995,JAPAN,"KOBE, JAPAN",4.0
1995,INDONESIA,TIMOR SEA,1.0
1995,RUSSIA,SAKHALIN ISLAND,4.0
1995,GREECE,GULF OF CORINTH: AIYION,1.0
1995,CHILE,NORTHERN CHILE,1.0
1995,MEXICO,S. MEXICO,1.0
1995,MEXICO,S. MEXICO,1.0
1995,EGYPT,EGYPT,1.0
1996,INDONESIA,SULAWESI,1.0
1996,INDONESIA,IRIAN JAYA,3.0
1996,PERU,N. PERU,1.0
1996,PERU,S. PERU,1.0
1997,VENEZUELA,CARIACO-CUMANA,2.0
1998,PAPUA NEW GUINEA,PAPUA NEW GUINEA,4.0
1998,INDONESIA,"TALIABU ISLAND,",1.0
1999,TURKEY,"KOCAELI, TURKEY",4.0
1999,VANUATU,VANUATU ISLANDS,1.0
2000,INDONESIA,SULAWESI,1.0
2000,JAPAN,"KOZU-SHIMA ISLAND, HONSHU",1.0
2000,PAPUA NEW GUINEA,BISMARCK SEA,1.0
2001,EL SALVADOR,EL SALVADOR,3.0
2001,PERU,S. PERU,3.0
2002,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",1.0
2002,TAIWAN,TAIWAN,1.0
2002,PAPUA NEW GUINEA,BISMARCK SEA,1.0
2002,INDIA,"ANDAMAN ISLANDS, INDIA",1.0
2002,INDONESIA,IRIAN JAYA,1.0
2003,MEXICO,S. MEXICO,1.0
2003,ALGERIA,N. ALGERIA,4.0
2003,ALGERIA,ALGIERS,1.0
2004,INDONESIA,KEPULAUAN ALOR,1.0
2004,INDONESIA,OFF W. COAST OF SUMATRA,4.0
2005,INDONESIA,INDONESIA,4.0
2006,INDONESIA,SERAM ISLAND,1.0
2006,INDONESIA,SOUTH OF JAVA,3.0
2006,CHINA,TAIWAN,1.0
2007,JAPAN,HONSHU: W COAST,1.0
2007,SOLOMON ISLANDS,SOLOMON ISLANDS,2.0
2007,CHILE,SOUTHERN CHILE,1.0
2007,JAPAN,HONSHU: W COAST,1.0
2007,RUSSIA,TATAR STRAIT,1.0
2007,PERU,S. PERU,3.0
2007,INDONESIA,SUMATRA,1.0
2007,CHILE,NORTHERN CHILE,1.0
2008,CHINA,SICHUAN PROVINCE,4.0
2008,JAPAN,HOKKAIDO ISLAND,1.0
2008,INDONESIA,SULAWESI,1.0
2009,INDONESIA,NEAR NORTH COAST,1.0
2009,HONDURAS,OFF COAST,1.0
2009,JAPAN,HONSHU: S COAST,1.0
2009,SAMOA,SAMOA ISLANDS,3.0
2009,INDONESIA,SUMATRA,4.0
2010,HAITI,HAITI & DOMINICAN REPUBLIC,4.0
2010,CHILE,CENTRAL CHILE,3.0
2010,PERU,"513 LAKE, HUALCAN GLACIER",1.0
2010,INDONESIA,SUMATRA,3.0
2011,JAPAN,HONSHU ISLAND,4.0
2011,JAPAN,E. COAST HONSHU ISLAND,1.0
2012,MEXICO,S. MEXICO,1.0
2012,INDONESIA,OFF W. COAST OF N SUMATRA,1.0
2012,PHILIPPINES,PHILIPPINE ISLANDS,1.0
2012,COSTA RICA,COSTA RICA,1.0
2012,CANADA,BRITISH COLUMBIA,1.0
2012,GUATEMALA,GUATEMALA,2.0
2013,SOLOMON ISLANDS,SANTA CRUZ ISLANDS,1.0
2013,PAKISTAN,OFF COAST GWADAR,3.0
2014,EL SALVADOR,GULF OF FONSECA,1.0
2015,CHILE,CENTRAL CHILE,1.0
2015,GREECE,IONIAN SEA,1.0
2016,INDONESIA,SW. SUMATRA,1.0
2016,ECUADOR,OFF COAST,3.0
2016,NEW ZEALAND,OFF EAST COAST OF SOUTH ISLAND,1.0
2016,SOLOMON ISLANDS,SOLOMON ISLANDS,1.0
