ID,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,COUNTRY,REGION,CAUSE,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DEATHS_TOTAL_DESCRIPTION,DAMAGE_TOTAL_DESCRIPTION,LOCATION_NAME
2184,1988,8.0,10.0,-10.258,160.89600000000002,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,7.6,36.0,0.0,Few (~1 to 50 people),Limited (<$1 million),SOLOMON ISLANDS
2372,1988,8.0,6.0,25.149,95.127,BANGLADESH,Indian Ocean (including west coast of Australia),Earthquake,7.2,91.0,0.0,Few (~1 to 50 people),,"JAMUNA RIVER, ARICHA, BANGLADESH"
2131,1981,9.0,1.0,-14.96,-173.085,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,7.7,25.0,-2.0,Few (~1 to 50 people),Limited (<$1 million),SAMOA ISLANDS
2080,1975,11.0,29.0,19.451,-155.033,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake and Landslide,7.7,2.0,3.0,Few (~1 to 50 people),Moderate (~$1 to $5 million),HAWAII
2079,1975,10.0,31.0,12.54,125.993,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,7.6,50.0,-1.5,Few (~1 to 50 people),Limited (<$1 million),PHILIPPINE TRENCH
2034,1971,7.0,14.0,-5.5,153.9,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,7.9,47.0,1.0,Few (~1 to 50 people),Limited (<$1 million),SOLOMON SEA
2028,1970,10.0,31.0,-4.907,145.471,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake and Landslide,7.3,8.0,0.5,Few (~1 to 50 people),Moderate (~$1 to $5 million),PAPUA NEW GUINEA
2003,1968,8.0,1.0,16.5,122.2,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,7.3,36.0,0.0,Many (~101 to 1000 people),Severe (~>$5 to $24 million),E. LUZON ISLAND
2119,1979,9.0,12.0,-1.679,136.04,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,7.9,5.0,0.0,Many (~101 to 1000 people),Severe (~>$5 to $24 million),IRIAN JAYA
2234,1994,11.0,14.0,13.525,121.067,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,7.1,32.0,2.1,Some (~51 to 100 people),Moderate (~$1 to $5 million),PHILIPPINE ISLANDS
2142,1983,5.0,26.0,40.462,139.102,JAPAN,Japan,Earthquake,7.8,24.0,2.0,Many (~101 to 1000 people),Extreme (~$25 million or more),"NOSHIRO, JAPAN"
2007,1968,8.0,14.0,0.2,119.8,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,7.8,23.0,2.5,Many (~101 to 1000 people),Severe (~>$5 to $24 million),BANDA SEA
2326,1999,8.0,17.0,40.76,29.97,TURKEY,Mediterranean Sea,Earthquake,7.6,13.0,0.0,Very Many (~1001 or more people),Extreme (~$25 million or more),"KOCAELI, TURKEY"
2260,1996,2.0,17.0,-0.8909999999999999,136.952,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,8.2,33.0,1.8,Many (~101 to 1000 people),Moderate (~$1 to $5 million),IRIAN JAYA
2227,1994,6.0,2.0,-10.477,112.835,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,7.8,18.0,2.5,Many (~101 to 1000 people),Moderate (~$1 to $5 million),SOUTH OF JAVA
2219,1993,7.0,12.0,42.851000000000006,139.197,JAPAN,Japan,Earthquake,7.7,17.0,3.1,Many (~101 to 1000 people),Extreme (~$25 million or more),SEA OF JAPAN
2213,1992,9.0,2.0,11.727,-87.38600000000001,NICARAGUA,West Coast of North and Central America,Earthquake,7.7,40.0,2.8,Many (~101 to 1000 people),Extreme (~$25 million or more),NICARAGUA
2122,1979,12.0,12.0,1.598,-79.358,COLOMBIA,West Coast of South America,Earthquake,7.7,24.0,2.5,Many (~101 to 1000 people),Severe (~>$5 to $24 million),"COLOMBIA: OFF SHORE, PACIFIC OCEAN"
2092,1977,8.0,19.0,-11.085,118.464,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,8.0,33.0,3.0,Many (~101 to 1000 people),Moderate (~$1 to $5 million),SUNDA ISLANDS
2011,1969,2.0,23.0,-3.1,118.9,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,6.9,13.0,2.0,Many (~101 to 1000 people),Severe (~>$5 to $24 million),MAKASSAR STRAIT
2086,1976,8.0,16.0,6.292000000000001,124.09,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,8.0,33.0,2.5,Very Many (~1001 or more people),Extreme (~$25 million or more),MORO GULF
2214,1992,12.0,12.0,-8.48,121.896,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,7.8,28.0,2.7,Very Many (~1001 or more people),Extreme (~$25 million or more),FLORES SEA
2281,1998,7.0,17.0,-2.943,142.582,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake and Landslide,7.0,25.0,0.0,Very Many (~1001 or more people),Severe (~>$5 to $24 million),PAPUA NEW GUINEA
2439,2004,12.0,26.0,3.3160000000000003,95.854,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,9.1,30.0,0.0,Very Many (~1001 or more people),Extreme (~$25 million or more),OFF W. COAST OF SUMATRA
2115,1979,7.0,18.0,-8.6,123.5,INDONESIA,Indian Ocean (including west coast of Australia),Landslide,0.0,,0.0,Very Many (~1001 or more people),Severe (~>$5 to $24 million),LOMBLEN ISLAND [LEMBATA]
2466,2005,1.0,19.0,34.064,141.491,JAPAN,Japan,Earthquake,6.6,28.0,0.0,,,E. HONSHU ISLAND
2507,2005,4.0,10.0,-1.644,99.607,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,6.7,19.0,0.0,,,KEPULAUAN MENTAWAI
2487,2005,3.0,28.0,2.085,97.108,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,8.6,30.0,0.0,Very Many (~1001 or more people),Extreme (~$25 million or more),INDONESIA
2547,2005,6.0,15.0,41.301,-125.97,USA,West Coast of North and Central America,Earthquake,7.2,10.0,0.0,,,N. CALIFORNIA
2548,2005,8.0,16.0,38.276,142.039,JAPAN,Japan,Earthquake,7.2,36.0,0.0,,Limited (<$1 million),E. COAST HONSHU ISLAND
2568,1977,4.0,20.0,-9.89,160.34799999999998,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,7.6,19.0,0.0,,Limited (<$1 million),SOLOMON ISLANDS
2567,1975,5.0,26.0,35.997,-17.649,ATLANTIC OCEAN,Northeast Atlantic Ocean,Earthquake,7.7,33.0,0.0,,Limited (<$1 million),AZORES GIBRALTAR FRACTURE ZONE
2569,1978,3.0,22.0,44.14,149.029,RUSSIA,Kamchatka and Kuril Islands,Earthquake,6.6,33.0,-3.0,,,S. KURIL ISLANDS
2591,1988,4.0,20.0,38.4,14.967,ITALY,Mediterranean Sea,Landslide,0.0,,0.0,,,"LA FOSSA VOLCANO, VULCANO IS."
2587,1998,3.0,25.0,-62.877,149.52700000000002,ANTARCTICA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,8.1,10.0,0.0,,,BALLENY ISLANDS
2588,1998,11.0,29.0,-2.071,124.891,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,7.7,33.0,0.0,Few (~1 to 50 people),Extreme (~$25 million or more),"TALIABU ISLAND,"
2589,1982,1.0,11.0,13.752,124.358,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,7.1,46.0,0.0,,,PHILIPPINES
2590,2005,11.0,14.0,38.107,144.89600000000002,JAPAN,Japan,Earthquake,7.0,11.0,0.0,,,E. COAST HONSHU ISLAND
2627,1906,1.0,31.0,10.5,-66.916,VENEZUELA,Caribbean Sea,Earthquake,0.0,,0.0,,,CARACAS
2592,1994,6.0,3.0,-10.362,112.892,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,6.6,26.0,0.0,,,SOUTH OF JAVA
2593,1994,6.0,5.0,-10.341,113.369,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,6.1,17.0,0.0,,,SOUTH OF JAVA
2693,2004,11.0,21.0,15.679,-61.706,GUADELOUPE (FRENCH TERRITORY),Caribbean Sea,Earthquake,6.3,14.0,0.0,,,"BASSE-TERRE, LES SAINTES"
2694,2003,7.0,12.0,16.722,-62.18,MONTSERRAT,Caribbean Sea,Volcano,0.0,,0.0,,Limited (<$1 million),SOUFRIERE HILLS VOLCANO
